Year,Month_Number,ET,EP,BSS,RF,WS,DT1,WT1,DT2,WT2,MAXT,MINT,RH11,RH22,VP11,CLOUDM,CLOUDE,SOIL1,SOIL2,SOIL3,SOIL4,SOIL5,SOIL6,MinTtest,MaxTtest1,MaxTtest2
1989,1,61.2,116.00000000000003,306.5,4.0,97.90000000000002,311.1,262.9,823.3999999999997,494.3,840.4999999999999,289.1,2494,871.0,230.39999999999998,0,0,422.59999999999997,543.0999999999999,637.4,1042.2,822.8000000000001,720.3000000000001,21.999999999999996,15.599999999999996,17.1
1989,2,85.09999999999998,115.99999999999999,293.50000000000006,0.0,75.59999999999998,351.59999999999997,306.8,824.1999999999999,510.40000000000003,839.6999999999998,317.50000000000006,2281,825.0,251.6,0,0,462.59999999999997,573.6999999999999,661.8,1097.9,846.0,728.6000000000001,34.099999999999994,16.7,15.5
1989,3,114.7,174.40000000000003,296.09999999999997,0.0,106.39999999999999,563.1000000000001,462.19999999999993,1033.5,657.7,1063.1000000000001,504.1000000000001,2151,962.0,337.9,0,0,660.3,767.6,862.3999999999999,1371.6000000000004,1076.2000000000003,923.0000000000002,58.99999999999999,35.300000000000004,29.600000000000005
1989,4,61.7,235.3,338.40000000000003,0.0,119.19999999999999,699.2999999999998,543.7,1113.3999999999999,651.2,1144.8,583.6,1751,636.9,376.9,0,0,774.5000000000001,869.6,968.5999999999999,1527.2000000000003,1227.6999999999998,1041.1000000000001,115.7,30.700000000000006,31.400000000000002
1989,5,-31.0,264.4,345.7,0.0,177.09999999999997,832.8000000000001,719.0000000000001,1180.6000000000004,764.4000000000001,1218.9999999999998,749.1,2247,963.0,600.4,0,0,959.1999999999999,1023.8,1118.7,1631.7000000000003,1362.1000000000001,1185.9,83.69999999999997,38.4,38.4
1989,6,40.300000000000004,221.89999999999998,236.3,84.5,230.6,843.6999999999998,765.8,1049.8999999999999,791.1,1073.5000000000002,798.2,2418,1494.0,688.0,0,0,937.8999999999997,970.2000000000002,1052.1000000000001,1362.5000000000002,1213.2000000000003,1124.7000000000003,45.5,15.200000000000003,23.59999999999999
1989,7,98.70000000000002,133.80000000000004,151.30000000000004,380.69999999999993,183.0,812.0,779.0000000000001,958.1,825.5999999999999,982.6000000000001,777.5999999999999,2834,2194.0,723.0,0,0,845.2,854.9999999999999,912.8000000000001,1068.6999999999998,1008.0,976.3000000000001,34.4,27.599999999999998,24.5
1989,8,118.60000000000002,112.39999999999999,94.1,215.40000000000003,154.89999999999998,791.3,763.6999999999999,924.3000000000002,798.3000000000001,945.8999999999999,767.7,2872,2230.0,703.0,0,0,824.1,841.9999999999999,893.8000000000001,1043.5,971.8999999999997,947.9,23.600000000000005,22.499999999999993,21.599999999999998
1989,9,231.40000000000003,145.7,221.99999999999997,21.4,101.9,774.0000000000001,735.2,986.0999999999999,780.3,1016.1,743.9000000000001,2685,1687.0,668.0,0,0,855.1,886.8000000000001,951.0,1293.2,1160.3,1063.5,30.099999999999994,32.4,29.999999999999996
1989,10,-31.0,179.40000000000003,308.79999999999995,0.0,73.89999999999999,700.3999999999999,611.7000000000002,1087.8999999999999,709.1,1110.8000000000002,609.9000000000002,2340,998.0,488.0,0,0,789.1,880.1000000000001,973.3000000000001,1414.6999999999998,1177.3,1078.8,90.5,23.099999999999994,22.9
1989,11,-30.0,146.50000000000003,295.9,0.0,75.10000000000001,547.8,458.9000000000002,990.2,609.0,1018.5000000000001,490.29999999999995,2170,813.0,338.1000000000001,0,0,635.3000000000001,743.0999999999999,839.7,1238.3000000000002,1017.7000000000002,909.1000000000001,57.499999999999986,23.899999999999995,28.300000000000004
1989,12,-31.0,117.3,281.7,0.0,93.70000000000002,429.40000000000003,348.20000000000005,876.6999999999999,549.5999999999999,904.8999999999999,398.20000000000005,2223,957.0,263.0,0,0,515.1,632.6999999999999,735.9999999999999,1092.3000000000002,908.6999999999998,786.4999999999999,31.199999999999992,25.400000000000002,28.199999999999996
1990,1,92.20000000000002,127.69999999999999,307.4,0.0,73.3,390.6,337.00000000000006,931.1000000000001,572.1999999999999,962.3999999999999,366.0999999999999,2486,877.0,270.8,0,0,495.9999999999999,618.8999999999997,723.9000000000002,1148.3,915.0999999999999,769.9000000000001,24.5,33.49999999999999,31.299999999999994
1990,2,157.20000000000002,125.3,247.20000000000002,0.0,96.80000000000001,418.3,364.40000000000015,811.6000000000001,520.1000000000001,844.9999999999999,385.09999999999997,2217,919.0,287.90000000000003,0,0,506.40000000000003,608.1000000000001,698.7,1067.3999999999999,866.5,733.1000000000003,33.2,30.7,33.4
1990,3,104.3,217.6,317.7,0.0,120.5,527.8000000000001,426.80000000000007,1017.4999999999998,576.7000000000002,1046.1999999999998,465.09999999999997,2107,622.0,312.5,0,0,612.5000000000001,744.3999999999999,858.2999999999998,1380.3999999999996,1101.6000000000004,909.4,62.699999999999996,37.7,28.7
1990,4,152.79999999999998,243.9,330.99999999999994,0.0,108.2,700.5999999999998,596.6,1106.0,672.6,1134.4999999999995,596.1,2140,748.0,466.5,0,0,779.1000000000001,867.3,972.6999999999999,1504.1,1245.1000000000001,1034.9,104.5,27.799999999999997,28.5
1990,5,71.10000000000001,263.59999999999997,318.5,42.6,188.79999999999998,876.3,778.4000000000001,1146.9,822.4999999999999,1182.4000000000003,818.4,2379,1314.0,684.0,0,0,1006.6000000000001,1057.1000000000001,1142.0,1595.6,1369.9,1188.2999999999997,57.900000000000006,30.9,35.50000000000001
1990,6,80.69999999999997,238.39999999999998,263.40000000000003,86.80000000000001,216.8,845.9,761.3999999999997,1053.4,792.8000000000001,1088.6,797.1000000000001,2368,1463.0,678.0,0,0,924.3000000000001,942.5999999999999,1005.5999999999999,1293.6000000000004,1177.8999999999999,1100.8000000000002,48.80000000000001,35.800000000000004,35.199999999999996
1990,7,77.80000000000001,127.99999999999999,72.9,157.89999999999998,239.90000000000006,824.5999999999999,772.0000000000002,958.5999999999999,804.6999999999999,992.3999999999999,797.2,2685,2066.0,699.0,0,0,840.0999999999999,854.9000000000002,897.1000000000001,1054.8,983.7999999999998,949.0000000000001,27.399999999999995,34.89999999999999,33.800000000000004
1990,8,124.2,105.8,82.7,664.9,128.8,798.2,766.3000000000001,910.0999999999998,811.8,945.5999999999998,775.8,2843,2401.0,704.0,0,0,829.4000000000001,842.6999999999998,876.9999999999999,1069.9,984.0,930.7,22.400000000000002,31.700000000000003,35.5
1990,9,136.4,111.80000000000003,189.20000000000002,255.59999999999997,92.50000000000003,760.7999999999998,730.2999999999998,909.2999999999998,764.9999999999999,958.0000000000002,729.9999999999999,2744,2028.0,666.0,0,0,795.9,811.3000000000002,850.6000000000003,1083.6,982.1000000000001,928.9000000000001,30.799999999999997,51.60000000000001,48.7
1990,10,94.2,147.60000000000002,305.5,0.8,72.99999999999999,736.8000000000001,678.9000000000002,1058.0,730.2,1086.3,658.1999999999999,2611,1203.0,579.0,0,0,800.9999999999999,848.8999999999999,912.6999999999998,1325.3,1143.1999999999996,1027.7,78.6,30.299999999999994,28.300000000000004
1990,11,58.49999999999999,127.29999999999998,295.20000000000005,7.5,99.10000000000001,565.5,491.70000000000005,935.5999999999998,610.8,963.4,505.0000000000001,2306,1032.0,375.8,0,0,634.7,729.5,795.4000000000002,1184.4,966.8000000000001,885.7000000000002,60.49999999999999,25.6,27.8
1990,12,111.99999999999999,95.70000000000002,282.40000000000003,16.0,90.8,449.7,397.60000000000014,844.0,581.4,874.2999999999997,410.49999999999994,2548,1273.0,314.8,0,0,522.7,609.1999999999999,689.6,1010.6999999999999,860.5,771.0,39.199999999999996,19.300000000000004,30.3
1991,1,124.29999999999998,104.69999999999999,309.1,0.0,81.0,326.29999999999995,276.30000000000007,830.4,518.7,858.5999999999999,298.20000000000005,2473,965.0,238.79999999999998,0,0,436.8,545.1999999999999,632.4,1036.3,788.5000000000001,699.8000000000002,28.09999999999999,27.400000000000002,28.199999999999996
1991,2,81.89999999999999,121.60000000000001,273.70000000000005,0.6,76.4,377.5,325.30000000000007,822.9,510.50000000000006,851.0,343.19999999999993,2221,814.0,260.20000000000005,0,0,475.4,583.1000000000001,676.1999999999999,1109.9000000000003,825.8000000000001,730.8,34.3,38.79999999999999,28.1
